"lat","lng","status","date","type","color"
"-12.084646296928","-77.042831251235","ATENDIENDO","2021-07-09 18:28:57","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-12.159679853405","-76.968505029261","ATENDIENDO","2021-07-09 17:39:20","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.0690472","-77.0102047","ATENDIENDO","2021-07-09 17:17:38","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.968017203391","-76.750235653874","ATENDIENDO","2021-07-09 16:33:01","MATERIALES PELIGROSOS (INCIDENTE) / FUGA GAS GLP Y OTROS GASES INFLAM / BALON DOMICILIARIO (10KG)","#757575"
"-12.209687774909","-76.950038443604","CERRADO","2021-07-09 05:31:16","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.07660510929","-77.095388824614","ATENDIENDO","2021-07-09 22:26:17","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.145234855164","-77.016713567231","ATENDIENDO","2021-07-10 01:27:23","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.148226184731","-77.007300321127","ATENDIENDO","2021-07-10 01:52:31","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.167107824737","-76.969091573609","ATENDIENDO","2021-07-10 03:21:48","INCENDIO / TERRENO BALDIO","#D32F2F"
"-11.907540606661","-77.074036552278","ATENDIENDO","2021-07-10 06:10:53","INCENDIO / TERRENO BALDIO","#D32F2F"
"-11.9907841","-76.8217274","ATENDIENDO","2021-07-10 13:41:59","SERVICIO ESPECIAL / PREVENCION - CAPACITACION / PRACTICAS","#40C4FF"
"-12.05660395829","-76.969098700929","ATENDIENDO","2021-07-10 19:45:56","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-12.8931107","-74.1944529","CERRADO","2021-07-11 17:43:52","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.030533338081","-77.077716543797","ATENDIENDO","2021-07-12 00:33:16","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.937515795033","-76.698962797331","ATENDIENDO","2021-07-12 01:42:04","INCENDIO / FORESTAL / TERRENO DE CULTIVO,CHACRA, OTROS","#D32F2F"
"-11.940139062434","-76.707152933397","ATENDIENDO","2021-07-12 02:41:58","INCENDIO / EQUIPOS ELECTRICOS CON ENERGIA / SUB ESTACION DE TRANSMISION","#D32F2F"
"-12.094428822788","-77.069882076944","ATENDIENDO","2021-07-12 21:25:19","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-12.064003329092","-77.050034573602","ATENDIENDO","2021-07-12 23:25:50","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.089902919997","-77.050218458436","ATENDIENDO","2021-07-13 07:27:22","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.989390849069","-76.796974024087","ATENDIENDO","2021-07-13 11:19:40","INCENDIO / FORESTAL / BOSQUES","#D32F2F"
"-12.175324677868","-76.966604557608","ATENDIENDO","2021-07-13 17:10:33","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.065224025342","-77.134563984233","ATENDIENDO","2021-07-14 00:10:19","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.867731150213","-77.061525215101","ATENDIENDO","2021-07-14 03:10:47","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.071690496795","-77.043032638182","ATENDIENDO","2021-07-14 09:20:21","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-12.154031647927","-76.971311731575","ATENDIENDO","2021-07-14 18:14:44","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.077487825056","-77.0335315799","ATENDIENDO","2021-07-15 02:12:58","INCENDIO / OTROS / CHIMENEA","#D32F2F"
"-12.063163293869","-77.108282017522","ATENDIENDO","2021-07-15 03:37:33","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.201919834257","-77.005125534963","ATENDIENDO","2021-07-15 08:49:51","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.144730965907","-76.981978017067","ATENDIENDO","2021-07-15 12:30:10","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-12.031518414838","-77.045256814331","ATENDIENDO","2021-07-15 14:29:54","MATERIALES PELIGROSOS (INCIDENTE) / FUGA GAS GLP Y OTROS GASES INFLAM / EN VEHICULO","#757575"
"-12.002572717333","-76.879192010033","ATENDIENDO","2021-07-15 17:06:27","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.031231071251","-77.066180848545","ATENDIENDO","2021-07-16 00:56:25","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.032969421468","-76.949520365309","ATENDIENDO","2021-07-16 03:50:28","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.05600278788","-76.994935623155","ATENDIENDO","2021-07-18 01:46:09","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.11452568077","-77.014880059319","ATENDIENDO","2021-07-18 06:30:10","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.913002188266","-77.048566939215","ATENDIENDO","2021-07-18 08:31:04","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.962184730865","-77.038316949283","ATENDIENDO","2021-07-18 23:51:51","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.093746963509","-76.993382618559","ATENDIENDO","2021-07-19 03:24:17","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.8782732","-77.126587","ATENDIENDO","2021-07-18 11:50:09","SERVICIO ESPECIAL / PREVENCION - CAPACITACION / PRACTICAS","#40C4FF"
"-12.083705431218","-77.011582354618","ATENDIENDO","2021-07-19 08:21:24","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.855023469513","-77.088107733998","ATENDIENDO","2021-07-19 13:36:31","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-12.178525780737","-76.947926566215","ATENDIENDO","2021-07-19 15:03:37","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.04275731426","-77.041273200843","ATENDIENDO","2021-07-19 17:59:53","INCENDIO / EQUIPOS ELECTRICOS CON ENERGIA / TRANSFORMADORES DE ALTA TENSION","#D32F2F"
"-12.173956649648","-76.979523480315","ATENDIENDO","2021-07-19 19:19:50","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.183000805417","-76.942288547914","ATENDIENDO","2021-07-19 18:55:00","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-12.040539051656","-77.046095232425","ATENDIENDO","2021-07-19 20:36:44","INCENDIO / TERRENO BALDIO","#D32F2F"
"-12.152115396153","-76.982168001733","ATENDIENDO","2021-07-19 21:43:50","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.182047777615","-76.926933781844","ATENDIENDO","2021-07-20 01:55:43","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.060728351096","-77.028847543025","ATENDIENDO","2021-07-20 17:02:30","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.06080782683","-77.03161760564","ATENDIENDO","2021-07-20 20:04:09","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-12.06539834837","-77.031320557337","ATENDIENDO","2021-07-20 19:28:53","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.849573937265","-76.996784242232","ATENDIENDO","2021-07-20 22:59:37","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.052493626934","-77.014307427397","ATENDIENDO","2021-07-20 22:45:04","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.867510348563","-77.072476167292","ATENDIENDO","2021-07-20 23:29:42","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.989913918462","-77.041759620559","ATENDIENDO","2021-07-21 04:29:49","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.019835581207","-76.991703934588","CERRADO","2021-07-21 06:02:00","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.008852087758","-77.049794254287","ATENDIENDO","2021-07-21 14:55:51","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.985209485725","-77.071998706175","CERRADO","2021-07-22 02:12:31","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.032256292417","-77.088189124736","CERRADO","2021-07-22 01:01:04","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.233301868437","-76.941853755865","ATENDIENDO","2021-07-22 00:52:38","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.9123987","-77.0041322","ATENDIENDO","2021-07-22 08:01:20","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.9376053","-77.0533276","ATENDIENDO","2021-07-22 08:01:20","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.0849556","-77.0547406","ATENDIENDO","2021-07-22 08:01:20","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-11.951024482056","-76.987326459897","ATENDIENDO","2021-07-23 05:10:03","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-11.957242038717","-76.993147625305","CERRADO","2021-07-23 03:41:17","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.970248118009","-77.066853826999","CERRADO","2021-07-22 21:05:08","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.116969871676","-77.034106585877","ATENDIENDO","2021-07-22 20:54:09","MATERIALES PELIGROSOS (INCIDENTE) / FUGA GAS GLP Y OTROS GASES INFLAM / EN VEHICULO","#757575"
"-12.170874484615","-76.979200108066","ATENDIENDO","2021-07-23 11:39:45","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-11.9237186","-76.661128","ATENDIENDO","2021-07-23 12:45:07","INCENDIO / FORESTAL / BOSQUES","#D32F2F"
"-12.026530254979","-76.945213441958","ATENDIENDO","2021-07-23 17:06:35","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.968664825287","-77.061995072611","ATENDIENDO","2021-07-23 20:53:53","INCENDIO / ESTRUCTURAS / ALMACEN - DEPOSITO","#D32F2F"
"-12.122341784974","-77.016552840482","ATENDIENDO","2021-07-24 01:14:38","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-12.078090029916","-77.063142033313","ATENDIENDO","2021-07-24 06:42:45","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-12.243999302178","-76.916335896085","ATENDIENDO","2021-07-24 18:41:52","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.050708969511","-77.031672313465","ATENDIENDO","2021-07-24 20:15:22","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.127869865137","-76.986812101759","ATENDIENDO","2021-07-25 03:18:58","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-11.988155970615","-77.114333541135","ATENDIENDO","2021-07-25 05:59:01","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.053247126655","-77.141155671792","ATENDIENDO","2021-07-25 07:50:04","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.0441813","-77.0300033","ATENDIENDO","2021-07-25 16:21:08","INCENDIO / OTROS / CHIMENEA","#D32F2F"
"-11.93643306576","-77.04175818625","ATENDIENDO","2021-07-25 16:09:10","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.184441074996","-77.009484526915","ATENDIENDO","2021-07-26 01:59:40","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.974194567693","-77.091772695047","CERRADO","2021-07-26 04:54:13","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.923800363208","-76.681047877413","CERRADO","2021-07-26 06:05:32","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-12.093923882468","-77.071264596014","ATENDIENDO","2021-07-26 05:51:29","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.030283020344","-76.959904467355","CERRADO","2021-07-27 00:11:04","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.06124284897","-76.998560178705","CERRADO","2021-07-27 02:14:39","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.935753127322","-77.073639121474","CERRADO","2021-07-27 07:32:09","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.207690812635","-76.922531254792","CERRADO","2021-07-27 08:54:28","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.052817862762","-77.028217150714","CERRADO","2021-07-27 21:37:00","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.064782279606","-76.975347002159","CERRADO","2021-07-28 01:33:49","INCENDIO / ESTRUCTURAS / ALMACEN - DEPOSITO","#D32F2F"
"-12.052743707686","-77.1181952506","CERRADO","2021-07-28 04:11:16","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.016510226583","-76.997228655383","CERRADO","2021-07-28 03:30:28","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-12.209805555012","-76.925010407044","CERRADO","2021-07-28 07:00:30","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-12.0448456","-77.0297865","CERRADO","2021-07-28 12:05:00","SERVICIO ESPECIAL / CUBRIR SERVICIO / LUGAR ESPECIFICO","#40C4FF"
"-11.994825082948","-76.824865990686","CERRADO","2021-07-28 12:04:10","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.877933100936","-77.132955869136","CERRADO","2021-07-28 14:02:18","INCENDIO / FORESTAL / BOSQUES","#D32F2F"
"-11.5626355","-77.2701481","ATENDIENDO","2021-07-28 14:48:10","SERVICIO ESPECIAL / EVENTOS PUBLICOS / OTROS","#40C4FF"
"-12.147700245756","-76.986635408436","CERRADO","2021-07-28 17:32:27","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-12.1206544","-77.0294397","CERRADO","2021-07-28 21:33:06","SERVICIO ESPECIAL / EVENTOS PUBLICOS / OTROS","#40C4FF"
"-12.110243734843","-77.039529301711","CERRADO","2021-07-28 23:43:27","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.458517985357","-76.753231021762","ATENDIENDO","2021-07-29 03:53:41","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.037454156861","-77.068851217482","CERRADO","2021-07-29 05:56:33","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-12.041285798605","-76.952752553669","CERRADO","2021-07-29 14:53:36","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.0822857","-77.0419941","ATENDIENDO","2021-07-29 14:31:14","SERVICIO ESPECIAL / EVENTOS OFICIALES / CEREMONIAS","#40C4FF"
"-11.6208214","-77.2073442","CERRADO","2021-07-29 23:30:49","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-12.058149392797","-77.014362545418","CERRADO","2021-07-30 01:01:10","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.8249478","-77.1230094","CERRADO","2021-07-30 01:22:16","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-11.918976788376","-77.038188395286","CERRADO","2021-07-30 03:02:46","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.18044583679","-77.000005568231","CERRADO","2021-07-30 04:46:53","INCENDIO / EQUIPOS ELECTRICOS CON ENERGIA / TRANSFORMADORES DE ALTA TENSION","#D32F2F"
"-12.007026159328","-77.036128054327","CERRADO","2021-07-30 06:18:09","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.19353734416","-77.007102069135","CERRADO","2021-07-30 16:20:13","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.061025296682","-77.082860615255","CERRADO","2021-07-30 19:37:42","MATERIALES PELIGROSOS (INCIDENTE) / HIDROCARBUROS / ESTACION DE SERVICIO","#757575"
"-12.058885260405","-77.024756117679","CERRADO","2021-07-30 21:50:46","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.064687382353","-77.078010060308","CERRADO","2021-07-31 01:40:48","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-12.092680885434","-77.073135625703","CERRADO","2021-07-31 02:28:52","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.202782405808","-76.949011004786","ATENDIENDO","2021-07-31 03:51:57","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.191176037026","-76.990290133041","CERRADO","2021-07-31 08:51:35","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.852270867106","-77.122663827902","CERRADO","2021-07-31 08:35:59","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.87744","-77.1330564","ATENDIENDO","2021-07-31 16:59:22","INCENDIO / FORESTAL / TERRENO DE CULTIVO,CHACRA, OTROS","#D32F2F"
"-12.006477147094","-77.099170664241","CERRADO","2021-08-02 07:13:54","INCENDIO / VEHICULO / AUTOMOVIL / COCHERA - GARAJE - TALLER","#D32F2F"
"-12.167331270399","-77.026067184881","CERRADO","2021-08-02 16:03:55","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.081686259382","-77.05267680347","CERRADO","2021-08-02 19:30:54","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.397138922861","-76.757971601171","ATENDIENDO","2021-08-02 22:41:44","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-12.053209922016","-76.95745589216","CERRADO","2021-08-03 00:11:57","INCENDIO / VEHICULO / AUTOMOVIL / COCHERA - GARAJE - TALLER","#D32F2F"
"-12.118692140757","-77.028895568148","CERRADO","2021-08-02 23:30:31","INCENDIO / VEHICULO / AUTOMOVIL / COCHERA - GARAJE - TALLER","#D32F2F"
"-12.035391570805","-77.065734274567","CERRADO","2021-08-03 02:25:36","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-12.005656301084","-77.093158246648","CERRADO","2021-08-03 16:20:58","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.084161258211","-76.998523031701","CERRADO","2021-08-03 18:03:24","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.09122112913","-77.079523070155","CERRADO","2021-08-03 17:42:24","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.978969801877","-77.125319103276","CERRADO","2021-08-03 17:28:37","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-12.032292304154","-77.090482071357","CERRADO","2021-08-03 19:47:31","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.159530767094","-76.957643299233","CERRADO","2021-08-04 00:21:55","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-11.829075777433","-77.119020451872","CERRADO","2021-08-03 23:56:13","MATERIALES PELIGROSOS (INCIDENTE) / FUGA GAS GLP Y OTROS GASES INFLAM / EN VEHICULO","#757575"
"-12.075935840087","-77.028353081538","CERRADO","2021-08-04 06:38:56","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.035960752887","-77.06869979555","CERRADO","2021-08-04 09:32:03","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.019599186568","-76.967380738777","CERRADO","2021-08-04 10:41:57","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.053567339128","-76.976604069317","CERRADO","2021-08-04 18:20:02","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.142204981057","-76.939727893676","CERRADO","2021-08-04 18:04:17","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.215052711452","-76.922447437785","CERRADO","2021-08-05 04:02:35","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.070914654008","-77.115810981853","CERRADO","2021-08-05 15:43:14","MATERIALES PELIGROSOS (INCIDENTE) / FUGA GAS GLP Y OTROS GASES INFLAM / EN VEHICULO","#757575"
"-12.10703833528","-76.981546172147","CERRADO","2021-08-05 23:23:57","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.031404144553","-77.003770887542","ATENDIENDO","2021-08-05 18:34:29","INCENDIO / FORESTAL / BOSQUES","#D32F2F"
"-12.059652717527","-77.127248844273","CERRADO","2021-08-06 03:06:15","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
